Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Unit_Price,Region,Payment_Mode,Sales
ORD0001,2025-01-01 00:00:00.000000,CUST168,Laptop,Electronics,2,60000,North,Cash,120000
ORD0002,2025-01-01 08:44:41.081081,CUST099,Laptop,Electronics,1,60000,South,UPI,60000
ORD0003,2025-01-01 17:29:22.162162,CUST156,Laptop,Electronics,5,60000,West,UPI,300000
ORD0004,2025-01-02 02:14:03.243243,CUST131,Laptop,Electronics,5,60000,North,Credit Card,300000
ORD0005,2025-01-02 10:58:44.324324,CUST096,Laptop,Electronics,3,60000,West,Debit Card,180000
ORD0006,2025-01-02 19:43:25.405405,CUST076,Mobile,Electronics,4,30000,East,UPI,120000
ORD0007,2025-01-03 04:28:06.486486,CUST140,Headphones,Accessories,2,3000,South,Credit Card,6000
ORD0008,2025-01-03 13:12:47.567567,CUST043,Tablet,Electronics,5,20000,South,UPI,100000
ORD0009,2025-01-03 21:57:28.648648,CUST197,Mouse,Accessories,3,800,West,Debit Card,2400
ORD0010,2025-01-04 06:42:09.729729,CUST117,Laptop,Electronics,5,60000,South,UPI,300000
ORD0011,2025-01-04 15:26:50.810810,CUST151,Headphones,Accessories,4,3000,West,UPI,12000
ORD0012,2025-01-05 00:11:31.891891,CUST077,Keyboard,Accessories,3,1500,West,Credit Card,4500
ORD0013,2025-01-05 08:56:12.972972,CUST142,Laptop,Electronics,3,60000,South,Debit Card,180000
ORD0014,2025-01-05 17:40:54.054054,CUST122,Tablet,Electronics,5,20000,North,Credit Card,100000
ORD0015,2025-01-06 02:25:35.135135,CUST119,Laptop,Electronics,2,60000,South,Debit Card,120000
ORD0016,2025-01-06 11:10:16.216216,CUST046,Laptop,Electronics,1,60000,East,UPI,60000
ORD0017,2025-01-06 19:54:57.297297,CUST090,Mobile,Electronics,4,30000,East,Credit Card,120000
ORD0018,2025-01-07 04:39:38.378378,CUST194,Keyboard,Accessories,5,1500,South,Credit Card,7500
ORD0019,2025-01-07 13:24:19.459459,CUST142,Tablet,Electronics,3,20000,South,UPI,60000
ORD0020,2025-01-07 22:09:00.540540,CUST149,Tablet,Electronics,3,20000,West,Credit Card,60000
ORD0021,2025-01-08 06:53:41.621621,CUST034,Laptop,Electronics,1,60000,South,Credit Card,60000
ORD0022,2025-01-08 15:38:22.702702,CUST177,Mobile,Electronics,2,30000,West,Cash,60000
ORD0023,2025-01-09 00:23:03.783783,CUST158,Headphones,Accessories,5,3000,South,UPI,15000
ORD0024,2025-01-09 09:07:44.864864,CUST029,Mouse,Accessories,4,800,North,UPI,3200
ORD0025,2025-01-09 17:52:25.945945,CUST141,Laptop,Electronics,5,60000,East,UPI,300000
ORD0026,2025-01-10 02:37:07.027027,CUST183,Mobile,Electronics,2,30000,South,Debit Card,60000
ORD0027,2025-01-10 11:21:48.108108,CUST003,Tablet,Electronics,1,20000,South,UPI,20000
ORD0028,2025-01-10 20:06:29.189189,CUST054,Keyboard,Accessories,1,1500,East,Cash,1500
ORD0029,2025-01-11 04:51:10.270270,CUST018,Laptop,Electronics,4,60000,South,Credit Card,240000
ORD0030,2025-01-11 13:35:51.351351,CUST198,Mobile,Electronics,5,30000,North,Cash,150000
ORD0031,2025-01-11 22:20:32.432432,CUST099,Keyboard,Accessories,3,1500,West,Debit Card,4500
ORD0032,2025-01-12 07:05:13.513513,CUST193,Mouse,Accessories,2,800,North,Debit Card,1600
ORD0033,2025-01-12 15:49:54.594594,CUST061,Mouse,Accessories,2,800,North,Credit Card,1600
ORD0034,2025-01-13 00:34:35.675675,CUST038,Laptop,Electronics,3,60000,South,Cash,180000
ORD0035,2025-01-13 09:19:16.756756,CUST008,Keyboard,Accessories,2,1500,East,Credit Card,3000
ORD0036,2025-01-13 18:03:57.837837,CUST136,Laptop,Electronics,2,60000,North,UPI,120000
ORD0037,2025-01-14 02:48:38.918918,CUST095,Headphones,Accessories,3,3000,North,Cash,9000
ORD0038,2025-01-14 11:33:20.000000,CUST178,Laptop,Electronics,4,60000,North,Cash,240000
ORD0039,2025-01-14 20:18:01.081081,CUST056,Mouse,Accessories,5,800,West,Debit Card,4000
ORD0040,2025-01-15 05:02:42.162162,CUST186,Mouse,Accessories,5,800,North,UPI,4000
ORD0041,2025-01-15 13:47:23.243243,CUST088,Mobile,Electronics,5,30000,East,UPI,150000
ORD0042,2025-01-15 22:32:04.324324,CUST092,Tablet,Electronics,3,20000,West,Credit Card,60000
ORD0043,2025-01-16 07:16:45.405405,CUST059,Keyboard,Accessories,5,1500,North,Credit Card,7500
ORD0044,2025-01-16 16:01:26.486486,CUST062,Laptop,Electronics,2,60000,South,Cash,120000
ORD0045,2025-01-17 00:46:07.567567,CUST052,Headphones,Accessories,5,3000,West,Credit Card,15000
ORD0046,2025-01-17 09:30:48.648648,CUST022,Laptop,Electronics,5,60000,South,Cash,300000
ORD0047,2025-01-17 18:15:29.729729,CUST041,Mouse,Accessories,2,800,South,Cash,1600
ORD0048,2025-01-18 03:00:10.810810,CUST155,Headphones,Accessories,4,3000,North,Cash,12000
ORD0049,2025-01-18 11:44:51.891891,CUST148,Mobile,Electronics,4,30000,South,UPI,120000
ORD0050,2025-01-18 20:29:32.972972,CUST182,Mouse,Accessories,5,800,West,UPI,4000
ORD0051,2025-01-19 05:14:14.054054,CUST034,Tablet,Electronics,4,20000,North,Debit Card,80000
ORD0052,2025-01-19 13:58:55.135135,CUST087,Tablet,Electronics,4,20000,West,Cash,80000
ORD0053,2025-01-19 22:43:36.216216,CUST039,Mouse,Accessories,4,800,South,Cash,3200
ORD0054,2025-01-20 07:28:17.297297,CUST199,Laptop,Electronics,5,60000,South,UPI,300000
ORD0055,2025-01-20 16:12:58.378378,CUST013,Tablet,Electronics,4,20000,North,Credit Card,80000
ORD0056,2025-01-21 00:57:39.459459,CUST090,Keyboard,Accessories,1,1500,West,UPI,1500
ORD0057,2025-01-21 09:42:20.540540,CUST090,Laptop,Electronics,5,60000,South,UPI,300000
ORD0058,2025-01-21 18:27:01.621621,CUST037,Keyboard,Accessories,5,1500,South,Debit Card,7500
ORD0059,2025-01-22 03:11:42.702702,CUST045,Keyboard,Accessories,3,1500,North,Debit Card,4500
ORD0060,2025-01-22 11:56:23.783783,CUST089,Headphones,Accessories,3,3000,East,Debit Card,9000
ORD0061,2025-01-22 20:41:04.864864,CUST039,Mouse,Accessories,2,800,North,Debit Card,1600
ORD0062,2025-01-23 05:25:45.945945,CUST013,Mouse,Accessories,1,800,East,Debit Card,800
ORD0063,2025-01-23 14:10:27.027027,CUST024,Laptop,Electronics,5,60000,West,Cash,300000
ORD0064,2025-01-23 22:55:08.108108,CUST136,Headphones,Accessories,4,3000,South,Credit Card,12000
ORD0065,2025-01-24 07:39:49.189189,CUST047,Keyboard,Accessories,4,1500,East,Cash,6000
ORD0066,2025-01-24 16:24:30.270270,CUST003,Mobile,Electronics,3,30000,North,Credit Card,90000
ORD0067,2025-01-25 01:09:11.351351,CUST145,Mouse,Accessories,5,800,East,Cash,4000
ORD0068,2025-01-25 09:53:52.432432,CUST098,Headphones,Accessories,2,3000,North,Debit Card,6000
ORD0069,2025-01-25 18:38:33.513513,CUST128,Laptop,Electronics,5,60000,East,Credit Card,300000
ORD0070,2025-01-26 03:23:14.594594,CUST116,Keyboard,Accessories,4,1500,West,Cash,6000
ORD0071,2025-01-26 12:07:55.675675,CUST106,Tablet,Electronics,3,20000,East,Cash,60000
ORD0072,2025-01-26 20:52:36.756756,CUST170,Keyboard,Accessories,2,1500,East,UPI,3000
ORD0073,2025-01-27 05:37:17.837837,CUST172,Headphones,Accessories,2,3000,South,Cash,6000
ORD0074,2025-01-27 14:21:58.918918,CUST175,Laptop,Electronics,2,60000,North,Cash,120000
ORD0075,2025-01-27 23:06:40.000000,CUST177,Headphones,Accessories,4,3000,East,UPI,12000
ORD0076,2025-01-28 07:51:21.081081,CUST109,Tablet,Electronics,1,20000,East,Cash,20000
ORD0077,2025-01-28 16:36:02.162162,CUST178,Laptop,Electronics,1,60000,South,Credit Card,60000
ORD0078,2025-01-29 01:20:43.243243,CUST118,Tablet,Electronics,4,20000,East,Debit Card,80000
ORD0079,2025-01-29 10:05:24.324324,CUST079,Keyboard,Accessories,2,1500,West,Cash,3000
ORD0080,2025-01-29 18:50:05.405405,CUST047,Tablet,Electronics,2,20000,North,Debit Card,40000
ORD0081,2025-01-30 03:34:46.486486,CUST076,Mouse,Accessories,5,800,West,Cash,4000
ORD0082,2025-01-30 12:19:27.567567,CUST067,Tablet,Electronics,3,20000,West,Credit Card,60000
ORD0083,2025-01-30 21:04:08.648648,CUST075,Laptop,Electronics,2,60000,East,Debit Card,120000
ORD0084,2025-01-31 05:48:49.729729,CUST052,Tablet,Electronics,2,20000,South,Cash,40000
ORD0085,2025-01-31 14:33:30.810810,CUST159,Headphones,Accessories,1,3000,East,UPI,3000
ORD0086,2025-01-31 23:18:11.891891,CUST155,Laptop,Electronics,3,60000,East,Cash,180000
ORD0087,2025-02-01 08:02:52.972972,CUST039,Tablet,Electronics,2,20000,East,Credit Card,40000
ORD0088,2025-02-01 16:47:34.054054,CUST018,Tablet,Electronics,1,20000,South,UPI,20000
ORD0089,2025-02-02 01:32:15.135135,CUST118,Mouse,Accessories,1,800,East,Cash,800
