Order_ID,Date,Product,Category,Quantity,Unit_Price,Total_Sales
1001,2026-01-05,Laptop,Electronics,2,55000,110000
1002,2026-01-06,Mouse,Accessories,5,800,4000
1003,2026-01-07,Keyboard,Accessories,3,1500,4500
1004,2026-01-08,Monitor,Electronics,2,12000,24000
1005,2026-01-09,Laptop,Electronics,1,55000,55000
1006,2026-01-10,Headphones,Accessories,4,2500,10000
1007,2026-01-11,Mouse,Accessories,8,800,6400
1008,2026-01-12,Monitor,Electronics,3,12000,36000
1009,2026-01-13,Keyboard,Accessories,6,1500,9000
1010,2026-01-14,Laptop,Electronics,2,55000,110000
1011,2026-01-15,Headphones,Accessories,5,2500,12500
1012,2026-01-16,Mouse,Accessories,10,800,8000
1013,2026-01-17,Monitor,Electronics,1,12000,12000
1014,2026-01-18,Keyboard,Accessories,4,1500,6000
1015,2026-01-19,Laptop,Electronics,1,55000,55000
